Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
3323,-1.30,-2.82,1.33,0.18,-0.16,-0.79,-5.06,36.05,-47.38,-0.07,-0.03,1.32,
4393,-1.74,-4.17,0.96,0.19,-0.16,-0.78,0.22,1.10,4.45,-0.07,-0.03,0.96,
5463,-1.47,-3.96,0.96,0.19,-0.15,-0.79,0.18,1.17,2.34,-0.07,-0.02,0.96,
6533,-1.78,-4.50,0.97,0.19,-0.15,-0.80,0.46,1.29,2.47,-0.08,-0.03,0.97,
7605,-1.77,-4.05,0.97,0.18,-0.15,-0.79,0.32,1.21,2.26,-0.07,-0.03,0.97,
8675,-1.46,-4.00,0.97,0.19,-0.16,-0.79,0.32,1.15,4.45,-0.07,-0.02,0.97,
9745,-1.54,-4.23,0.96,0.18,-0.15,-0.79,0.11,1.24,2.32,-0.07,-0.03,0.96,
10815,-1.59,-4.07,0.98,0.18,-0.16,-0.79,0.48,1.25,2.41,-0.07,-0.03,0.98,
11885,-1.62,-4.23,0.98,0.18,-0.16,-0.78,0.35,1.20,2.26,-0.07,-0.03,0.97,
12955,-1.57,-4.31,0.99,0.18,-0.15,-0.78,0.50,1.11,2.35,-0.07,-0.03,0.98,
14025,-1.56,-4.13,0.97,0.18,-0.15,-0.78,0.49,1.36,2.43,-0.07,-0.03,0.97,
15098,-1.65,-4.06,0.96,0.18,-0.16,-0.78,0.32,1.26,2.40,-0.07,-0.03,0.96,
16168,-1.20,-4.23,0.98,0.18,-0.16,-0.78,0.32,1.21,2.41,-0.07,-0.02,0.98,
17238,-1.72,-4.23,0.98,0.18,-0.15,-0.78,0.53,1.33,2.26,-0.07,-0.03,0.98,
18308,-1.66,-4.17,0.97,0.18,-0.15,-0.79,0.31,1.23,2.42,-0.07,-0.03,0.97,
19378,-1.46,-4.39,0.97,0.18,-0.15,-0.79,0.17,1.15,2.39,-0.07,-0.02,0.97,
20448,-1.43,-4.09,0.98,0.18,-0.15,-0.79,0.38,1.37,2.53,-0.07,-0.02,0.97,
21518,-1.46,-4.01,0.97,0.18,-0.16,-0.78,0.41,1.13,2.53,-0.07,-0.02,0.97,
22591,-1.33,-3.84,0.98,0.18,-0.15,-0.79,0.62,1.26,2.48,-0.07,-0.02,0.97,
23661,-1.53,-4.48,0.98,0.18,-0.15,-0.79,0.35,1.36,2.27,-0.08,-0.03,0.98,
24731,-1.39,-3.85,0.97,0.18,-0.14,-0.79,0.07,1.22,2.36,-0.07,-0.02,0.97,
25801,-1.49,-4.14,0.99,0.18,-0.16,-0.78,0.52,1.28,2.41,-0.07,-0.03,0.99,
26871,-1.58,-3.89,0.96,0.18,-0.15,-0.78,0.36,1.21,2.53,-0.07,-0.03,0.96,
27941,-1.68,-3.92,0.98,0.19,-0.15,-0.78,0.37,1.13,2.53,-0.07,-0.03,0.98,
29013,27.80,13.93,2.35,0.16,-0.18,-0.79,47.26,159.29,-286.72,0.57,1.10,2.00,
